C-A10KJE-0;C-MMW-0;C-PCM2-0;F-PROD4;F-PROD1;F-PROD2;F-PROD3
A10KJE-202504;MMW-1;KJPC2-07;:;:;:;:
A10KJE-202504;MMW-1;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202504;MMW-1;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202504;MMW-1;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202504;MMW-1;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202504;MMW-1;KJPC2-86;:;0,0;0,0;0,0
A10KJE-202504;MMW-2;KJPC2-06;:;:;:;:
A10KJE-202504;MMW-2;KJPC2-07;:;:;:;:
A10KJE-202504;MMW-2;KJPC2-59;:;0,0;0,0;0,0
A10KJE-202504;MMW-2;KJPC2-64;:;0,0;0,0;0,0
A10KJE-202504;MMW-2;KJPC2-69;:;0,0;0,0;0,0
A10KJE-202504;MMW-2;KJPC2-79;:;0,0;0,0;0,0
A10KJE-202504;MMW-2;KJPC2-86;:;0,0;0,0;0,0
A10KJE-202505;MMW-3;KJPC2-06;:;:;:;:
A10KJE-202505;MMW-3;KJPC2-07;:;:;:;:
A10KJE-202505;MMW-3;KJPC2-08;94649,6;97970,7;97970,7;98088,9
A10KJE-202505;MMW-3;KJPC2-09;8137,1;8137,1;8137,1;8137,1
A10KJE-202505;MMW-3;KJPC2-10;1697875,4;1691311,1;1691311,1;1694425,4
A10KJE-202505;MMW-3;KJPC2-11;915726,5;278732,3;278732,3;912387,1
A10KJE-202505;MMW-3;KJPC2-13;113537,8;100580,4;100683,8;108065,4
A10KJE-202505;MMW-3;KJPC2-14;27303,8;10684,0;10684,0;25681,3
A10KJE-202505;MMW-3;KJPC2-15;38541,0;18051,5;18051,5;41937,0
A10KJE-202505;MMW-3;KJPC2-16;815639,1;837782,7;837782,7;842654,2
A10KJE-202505;MMW-3;KJPC2-17;548212,8;587244,8;614743,1;586695,3
A10KJE-202505;MMW-3;KJPC2-18;123413,8;107137,3;107137,3;106519,0
A10KJE-202505;MMW-3;KJPC2-19;473284,7;530755,7;530755,7;530755,7
A10KJE-202505;MMW-3;KJPC2-20;707211,7;672830,4;707379,9;733029,3
A10KJE-202505;MMW-3;KJPC2-21;463197,1;550944,0;553548,9;468401,3
A10KJE-202505;MMW-3;KJPC2-22;615009,8;625387,7;625387,7;623838,4
A10KJE-202505;MMW-3;KJPC2-23;520732,2;522237,6;522237,6;521835,5
